,time,vmax_kt,vmax
0,2023-07-30 09:05:00,56.0,28.808864
1,2023-07-31 09:14:00,96.0,49.386624
2,2023-08-01 09:22:00,87.0,44.756628
3,2023-08-02 09:30:00,93.0,47.843292
4,2023-08-02 09:45:00,91.0,46.814404
5,2023-08-03 09:39:00,87.0,44.756628
6,2023-08-03 21:29:00,70.0,36.01108
7,2023-08-04 09:47:00,61.0,31.381084
8,2023-08-04 21:35:00,64.0,32.924416
9,2023-08-04 21:36:00,63.0,32.409972
10,2023-08-05 09:22:00,67.0,34.467748
11,2023-08-05 21:12:00,59.0,30.352196
12,2023-08-06 09:13:00,65.0,33.43886
13,2023-08-06 21:18:00,54.0,27.779976
14,2023-08-06 21:19:00,59.0,30.352196
15,2023-08-07 09:07:00,69.0,35.496636
16,2023-08-08 09:15:00,59.0,30.352196
17,2023-08-09 09:24:00,64.0,32.924416
